,Date,Church_and_World
0,2022-01-16,"Gracious Father, We thank You for Your Son, our Lord Jesus.  He is the joy of man's desiring; the One for Whom our hearts always hunger. Even our sinful desires are just twisted impressions of the God-shaped void within us. And our hearts are always restless until they find their rest in You. So shine the light of Your face upon us and bless us to draw us under the shadow of Your wing.  Set our feet to walk on Your path in the steps of Your Son, our Lord Jesus, and fill us in our emptiness with your Holy Spirit. We pray these things not only for ourselves, but for all Your Church in all the world  In our own community, we lift up to You: Cornerstone Church of Valparaiso and their pastoral search.  Grant him Your wisdom and grace pour out Your peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
1,2022-01-23,"Gracious Father, You are the author and Giver of all good things; we thank You for all Your mercies and for Your loving care over all Your creatures.  We bless You for the gift of life; for Your protection round about us; and for all the tokens of Your love. We thank You for friendship and duty; for the joys that cheer us and the trials that teach us to trust in You. Most of all we thank You for the saving knowledge of Your Son our Savior; for the living presence of Your Spirit, the Comforter, for Your Church the Body of Christ; for the ministry of the word and sacrament; for all the means of grace and for the hope of glory. Make us wise unto a right use of Your benefits that we may render an acceptable thanksgiving unto You all the days of our life. We pray these things not only for ourselves, but for all Your Church in all the world  In our own community, we lift up to You: Westminster Presbyterian Church in Shalimar and their pastors Chad Watkins and Knox White, together with all who counsel, minister, and worship there.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
2,2022-01-30,"Gracious Father, We pray for the sanctification of the saints. We ask that Your people might come out from the midst of this corrupt world and not compromise with evil. We pray that you would enable us to live lives of repentance. Deliver us from the love of this world and the things of this world. Do not allow us to be seduced by the lust of the eyes or the pride of life. Enable us to seek first Your kingdom and its righteousness and to make it always our ambition to be pleasing in Your sight so that we might truly glorify Your holy name and live as You live and in accordance with the life granted us in Christ Jesus.  We especially pray that You will preserve us together with our sons and daughters against the assaults of the world, the flesh, and the devil. We pray these things not only for ourselves, but for all Your Church in all the world  In our own community, we lift up to You: Manna Church and pastor Chris Shinnick.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
3,2022-02-06,"Almighty God, our heavenly Father, Who have promised certainly to grant to us those things which we ask for in the name of Your beloved Son Jesus Christ: so work in our hearts by Your Holy Spirit, that we may rightly know You, to sanctify, adore and praise You in all Your works, in which Your Omnipotence; Wisdom, Goodness, Mercy, Justice; and Truth shine forth. Grant also that we may so order our whole life, all our thoughts, Words and works, that Your name may not be profaned, but adored and praised through us. So govern us, by the scepter of Your Word, and the power of Your Holy Spirit, that we and all men, may daily more subject and yield ourselves to your Divine Majesty. LORD, HEAR OUR PRAYERS.  For You are gracious. In our own community, we lift up to You: First Presbyterian Church of Niceville and pastor Joe Grider as well as Rick Mallick ministering on staff there.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
4,2022-02-13,"Great Father in Heaven, we lift up to You ourselves, our families, friends and neighbors; deliver us from all anxiety, affliction, danger, and need; that we may live in love, health, peace, and repentance, and end our lives like we have lived them, as Christians.  Guard us this week in peace and sinlessness and preserve us by Your grace unto the end, from all the scandals of those that work iniquity, to glorify You, God the Father Almighty, We pray these blessings not only for ourselves, but for all Your Church in all the world. In our own community, we lift up to You: Forest Lake Bible Church and elders Alldredge and Tidwell.  Grant peace and love in and through that body.  Grow them, both in numbers and in Your knowledge and purity make them fruitful to abound in faithfulness and righteousness as Your people and lights to our community."
5,2022-02-20,
6,2022-02-27,"Gracious Father, thank You for calling us out of darkness and dealing kindly to us when we were as yet still Your enemies.  Grant us the mighty grace of Your Spirit so to run the race You have set before us with devotion and excellence, not with apathy or uncertainty.  And continue to shine Your light into the dark regions of the world bringing men to the life of that light in Christ! We pray these blessings not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You:  Rosemont Baptist Doug Fannon & Lee Dolohite."
7,2022-03-06,"Our Gracious Father in Heaven, We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: New Hope Baptist Church of Valparaiso and Pastor David Wilson.  Would You continue to grant them Your blessing, empower them to be wise and faithful in ministry and righteousness; to delight in You and Your Word and to live by faith as You have called us to."
8,2022-03-13,"Gracious Father and Almighty God, we praise You for the victory of Jesus over the Devil and the power of his temptations.  Give to us the same power of Your Spirit as You test us and prove our faith make us to share in His triumph.  Make us victors with our victorious Lord, that we might render to You that which You desire justice, mercy, repentance, obedience, the love and help of our neighbor as ourselves and the love of You with all our being. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You:"
9,2022-03-20,"Heavenly Father, make of us a holy and pure people.  You have promised that the pure in heart shall see You.  So help us to be such.  Cleanse and purify us so that in understanding we might be mature, but in sin and lust, we may be as innocent children. Renew us, forgive our sins, and grant us all strength to stand with pure fidelity against the seductions of our Foe. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Bethel Baptist Church in Valparaiso, pastor Alan Stewart and all who worship there.  Grant them faithfulness and the grace of Your Spirit and fidelity to Your Word nourished by the milk and meat of Your Word they would grow in the grace and knowledge of the Lord Jesus and abound in the righteous fruits of Your Spirit!"
10,2022-03-27,"Heavenly Father, For You, O Christ our God, are the illumination of our souls and bodies.  So make us a people who look like and live like You and who may dwell in Your presence and abide in You. That we may do Your will and see Your kingdom come and spread here on earth as it is in heaven. We pray Your blessings not only for ourselves but for all Your Church in all the world. In our own community, we pray for your blessing upon the work of Manna Church, pastors Shinnick, and Gonzalez,  and all those who serve and worship You there.  Bless them richly in this season in their walk with You and build them up by Your Spirit and Word."
11,2022-04-03,
12,2022-04-10,"O God our Lord of the Power, Maker of all creation, Who, in Your incomparable mercy, sent Your Only-Begotten Son, our Lord Jesus Christ to be the resurrection and the life, and by His holy Cross to tear asunder the record of our sins, and thereby conquer the rulers and powers of darkness; Receive our thanksgiving and our prayers and deliver us from every destructive and dark sin, and from all visible and invisible enemies who seek our harm. Nail down our flesh with fear of You, and pierce our souls with Your love, that we may willingly give up comfort and safety in order to follow Christ with fullness of faith. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Bluewater Bay community Church Pastor Dean Allen and [churchplanter] Clint Akins - Would You continue to grant them Your blessing, empower them to be wise and faithful in ministry and righteousness; to delight in You and Your Word and to live by faith as You have called us to."
13,2022-04-17,"Our Gracious Father in Heaven, Through the death of Your Son, You destroyed sin and death, and by His rising to life again restored innocence and life everlasting delivering us from the power of the Devil to live under You in Your Kingdom.  Strengthen us by the comfort and the power of His resurrection now and all our days.  Make us brave in the shadow of death by the sweetness of Your promise that just as You raised Christ, we will by no means remain in our graves but will rise again also at the end of days.  Guide us in new life as we run the race You've set before us, and when we finish our course, give us the crown of life so that with all the holy angels and saints of every age we may praise and glorify You, without end. We pray this not only for ourselves but for all Your Church in all the world. In our own community, we lift up to You: Manna Church in Niceville and Pastor Chris Shinnick along with all those who minister there.  Grant them Your blessing, empower them to be wise and faithful in ministry and righteousness;   Grow them up into full maturity with Christ, the Head of the Church, and bless their congregation with Your guidance and clarity."
