,Date,Church_and_World_Culture_and_Nation,Church_and_World_Epilogue
0,2022-01-16,"Father, we lift up to You Your Christian ministers and counselors in Canada and many of our brothers and sisters out West concerned that they may be threatened by hate speech legislation.  Protect them from this and grant them wisdom and grace to be faithful to speak Your truth in love. According to Your word, we thank You for the blessings and protections of government authority we pray for our national judges, law makers, and the Executives for President Biden, his cabinet and advisors, Mercifully grant them Your wisdom and counsel that as they discharge their duties to lead us as Your appointed minsters over us. In particular, bless and help our state authorities, Gov DeSantis, Surgeon General Rivkees, our County Cmmrs Mixon, Ketchel, Goodwin, Ponder, and Boyles and DOH Dr Chapman together w/ our City Cmmrs, Administrators, Sheriff Aden and his deputies, and our local law enforcement officers, and emergency responders. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, having received Your Word, we approach Your Table, presenting ourselves to You as living sacrifices.  Bring the blows that wound to cleanse away evil and the lashes that make clean the innermost parts.  For You alone are the Healer of our souls and the Healer of the Nations.  In Jesus' name.  Amen. Nicene Creed"
1,2022-01-23,"Work in our families and make us faithful to You as Your covenant people. Cause us who are parents to love and lead our children. And give our children open hearts to receive and remember both correction and love so that our homes might serve as living apologetics against the national sin of abortion. Give us stable and strong homes where we have learned to live below our means and also to work hard to provide for ourselves and also to share with and care for the needs of those around us especially the widows and fatherless children. Arouse our national conscience against the atrocity of the murder of the unborn and cleanse our land from it.  Turn us in repentance from our sexual immorality and the killing of the fruit of it both of which are loveless to a rediscovery of the glory of true love.  Fill Your people with Your Spirit so that we might testify to the glory and greatness of Christian love in these areas. Bless the CALM House ministry here in our community and their service to single mothers and their children. LORD, HEAR OUR PRAYERS.  For You are gracious.Prayer for the Church and the World Epilogue","And now O God, before Whose face the generations rise and pass away, the Strength of those who labor and the repose of the blessed dead; we rejoice in the communion of the Saints. We remember all who have faithfully lived; and all who have peacefully died. As we come to this table to which all of Your people have come to commune with the Savior here on earth, enable us to look forward to that communion that awaits us with You and Your Son and the Holy Spirit throughout eternity. Bless us and feed us that we may live to Your glory and serve one another through Christ our Lord. Amen. Nicene Creed"
2,2022-01-30,"Gracious Father, applied for exemptions to vaccine mandates and whose jobs are in the balance.  Give them favor in the eyes of their employers and grant wisdom and grace and abundant provision to all involved. We thank You for the authorities You have placed over us in the executive, legislative and judicial branches; especially praying today for our Federal Judges  Justices Roberts, Thomas, Breyer, Alito, Sotomayor, Kagan, Gorsuch, Kavanaugh, and Barrett As well as our FL state justices Canady, Polston, Labarga, Lawson, Muniz, Couriel, and Grosshans - Bless each one with Your true wisdom and strength in all the responsibilities and in the demands of their office that righteousness would dwell in this land. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Finally, O God and Father, grant that we who are gathered here in the name of Your Son, Jesus , to hear His Word and keep His holy Supper, may receive You and Your power, by which alone we may inherit Your kingdom, and yield ourselves completely, with all our love and steadfast faith, to Your dear Son, our Lord, the only Savior and Redeemer, by Whose Spirit and in Whose Holy name we ask all these things. Amen. Nicene Creed"
3,2022-02-06,"Gracious Father, we thank You for the good and beautiful order You have established in our world, and the place our lives and our congregation fit into that order.  We thank You for the orders of authority within which You have placed us and from which we receive so many often unacknowledged blessings.  Especially today, we give You thanks for our Communion of Reformed and Evangelical Churches, and for those who serve and lead us.  We pray for the Churches of our Athanasius Presbytery, those that are struggling and those that are stable, be gracious and Help each one as is fitting.  Bless and empower our Presiding Minister Uri Brito and Pro Tem Joe Thacker.  Bless all their labors in their own congregations and also for our Presbytery.  And we pray for our CREC Presiding Minister, Virgil Hurt, and Pro Tem Bryant.   We thank You for the service these last three years of PM Wilson and Booth and Phelps.  Bless these men for their pains and labors on our behalf and for Your glory.  Empower our new leaders with might, wisdom, and grace of Your Spirit.  Give them discernment and a fruitful vision for their leadership.  And bless these two [very different] men with peace and unity, the bond of Your Spirit, that they would grow and synergistically gain from working with one another in Your service. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","As we receive Your word and meal, Preserve and extend your Church, and confound all the works of the Devil. Put Your enemies to shame by the might of Your truth and righteousness, that every power which exalts itself against Your glory may from day to day be more completely rooted up and destroyed, until the perfection of Your kingdom shall be consummated, when You shall manifest your glory in your people at the last day, and be forever all in all.  Your will be done.  For we pray in the name and for the sake of Christ Jesus our Lord. Amen. Nicene Creed"
4,2022-02-13,"For peace in the world, especially where hostilities are increasing between Russia and Ukraine   We thank You for Your blessing upon our military and ask that the strength of our military would only every be used in ways that conform to Your Will and righteous standard. We entrust to Your care and protection our servicemen and women: Josh Stevenson; Caleb Akin; Trent Hamilton; Corban Pierce; Bobby Dixon; Jacoby Baker; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Noah Mosley, Murray Hemstreet, Matt Adelstein, Chris Stanton, Lexi Turner, and Braden Fitzsimmons. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","O God of spirit and all flesh, Who hast trampled down Death, and overthrown the Devil, and given life unto Thy world; Thou alone art without sin; for Thy righteousness is to all eternity, and Thy word is truth. For Thou art the resurrection, and the life, and the repose of Thy departed + servant(s. So unto Thee we ascribe glory, O Christ, our God and our Hope, together with Thine eternal Father, and Thy most Holy, good, and life-giving Spirit, now and ever, and unto ages of ages. Nicene Creed"
5,2022-02-20,"Father, we lift up to You our own nation in this generation.  Look upon us in mercy and deliver us from our own sin and rebellion.  Turn us to the fear of God and the love of His righteous law.   According to Your word, we thank You for the blessings and protections of government authority we pray for our national judges, law makers, and the executors of the laws for President Biden, his cabinet and advisors, and for the heads of our military and other institutions -   Mercifully grant them Your wisdom and counsel that as they discharge their duties to lead us as Your appointed minsters over us. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Soften our hearts, and humble us for our sins. Sanctify and quicken us, that we may relish the spiritual food, and feed on it to our nourishment and growth in grace. Shed abroad the love of God upon our hearts, and draw them out in love to him. Fill us with thankfulness and holy joy, and with love to one another; comfort us by witnessing that we are Rom. 8.16. the children of God. Confirm us for new obedience. 8Be the earnest of our inheritance, and seal us up to  everlasting life.  .for we come in the name of Him who is Your own well-beloved Son, even Jesus our Lord. Amen. Nicene Creed"
6,2022-02-27,"Gracious Father of mercies, protect and provide for all Your people in the Ukraine, especially our sister churches there all those who have fled their homes to nearby countries and those who have remained.  Uphold them by Your strong arm and bring a swift and just end to the warfare in their land.  Bless and provide for all those who will be taking in refugees, especially in the neighboring churches.  Uphold them in every need and challenge. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now as we approach Your Table help us by them to grow in the grace and knowledge of our beloved Savior so that we may be true salt and light in this world, not living unto ourselves but unto Him who loved us and gave Himself for us. Help us to love one another and so show plainly that we are His disciples. For we ask all these things by Your Spirit, and in His strong and holy name. Amen. Nicene Creed   Christians, in Whom do you trust?"
7,2022-03-06,,
8,2022-03-13,,
9,2022-03-20,"O God, we remember Your Word which assures us of Your special care and attention to the widows and so we thank You for those widows and single mothers in our congregation and ask You to both bless, comfort, provide for the many practical daily needs and protect each one under the shield of Your care, and make us more faithful servants and protectors of them after Your own example. We especially lift up to You: Wanda Sadler, Gilda Winn, Heidi Mallory, Shirley Filar, Cori Sprenger and Hildegaard Inman Anne Redwine. We ask that You would make us faithful ministers and servants of these and more aware of the needs we might serve for where You have placed us in our neighborhoods and this community. LORD, HEAR OUR PRAYERS.  For You are gracious.Prayer for the Church and the World Epilogue","Bless us now, Heavenly Father, as we come to Your Table.  And hear us in all these things, for the sake of Your dear Son answer our prayers for we bring them in His strong and holy name. Amen. Nicene Creed                Christians, in Whom do you trust?"
