,Date,GospelProclamation
0,2022-01-16,"Blessed is he whose transgression is forgiven, whose sin is covered.  Blessed is the man to whom the Lord does not impute iniquity, and in whose spirit there is no guile.  When I kept silent, my bones grew old through my groaning all the day long.  For day and night Your hand was heavy upon me; my vitality was turned into the drought of summer.  I acknowledged my sin to You, and my iniquity I have not hidden.  I said, ""I will confess my transgression to the Lord,"" and You forgave the iniquity of my sin."
1,2022-01-23,"give thanks to the Father who has qualified us to be partakers of the inheritance of the saints in the light. 13 He has delivered us from the power of darkness and [c]conveyed us into the kingdom of the Son of His love, 14 in whom we have redemption [d]through His blood, the forgiveness of sins."
2,2022-01-30,"Give thanks to the Father who has qualified us to be partakers of the inheritance of the saints in the light. 13 He has delivered us from the power of darkness and [c]conveyed us into the kingdom of the Son of His love, 14 in whom we have redemption [d]through His blood, the forgiveness of sins."
3,2022-02-06,"Rise and hear the good news of God's forgiveness.   John 3: 16, For God so loved the world, that He gave his only begotten Son, that all who believe in Him might not perish, but have everlasting life."
4,2022-02-13,"He has delivered us from the power of darkness and [c]conveyed us into the kingdom of the Son of His love, 14 in whom we have redemption [d]through His blood, the forgiveness of sins."
5,2022-02-20,"21 And you, who once were alienated and enemies in your mind by wicked works, yet now He has reconciled 22 in the body of His flesh through death, to present you holy, and blameless, and above reproach in His sight  23 if indeed you continue in the faith, grounded and steadfast, and are not moved away from the hope of the gospel which you heard."
6,2022-02-27,"The Lord is merciful and gracious, slow to anger, and abounding in steadfast love.  He will not always chide, nor will He keep His anger forever.  He has not dealt with us according to our sins, nor rewarded us according to our iniquities.  For as the heavens are high above the earth, so great is His steadfast love toward those who fear Him; as far as the east is from the west, so far has He removed our transgressions from us."
7,2022-03-06,"Out of the depths have I cried to You, O Lord; Lord hear my voice!  Let Your ears be attentive to the voice of my supplications.  If You, Lord, should mark iniquities, O Lord, who could stand?  But there is forgiveness with You, that You may be feared.  I wait for the Lord, my soul waits, and in His word do I hope.  My soul waits for the Lord more than watchmen for the morning--more than watchmen for the morning.  O Israel, hope in the Lord; for with the Lord is steadfast love, and with Him is plenteous redemption.  And He shall redeem Israel from all his iniquities."
8,2022-03-13,"""Come now, and let us reason together,"" says the Lord, though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool."""
9,2022-03-20,"[God said to Israel in her captivity]: "" I will take you from among the nations, gather you out of all countries, and bring you into your own land. Then I will sprinkle clean water on you, and you shall be clean; I will cleanse you from all your filthiness and from all your idols.  I will give you a new heart and put a new spirit within you; I will take the heart of stone out of your flesh and give you a heart of flesh. I will put My Spirit within you and cause you to walk in My statutes, and you will keep My judgments and do them. Then you shall dwell in the land that I gave to your fathers; you shall be My people, and I will be your God."
10,2022-03-27,"Hear now the comforting assurance of the grace of God, promised in the Gospel to all who believe.  Our Lord Jesus Christ says:  For God so loved the world, that He gave His only begotten Son, that whosoever believeth in Him might not perish, but have everlasting life."
11,2022-04-03,"ROMANS 8:32-34   He who did not spare His own Son, but delivered Him up for us all, how shall He not with Him also freely give us all things?  Who shall bring a charge against God's elect?  It is God who justifies.  Who is he who condemns? It is Christ Jesus who died, yes, who was raised from the dead, Who is at the right hand of God, who indeed intercedes for us."
