,Date,Absolution
0,2022-01-16,"Your Heavenly Father, in His great mercy, has given His only Son to die for us, and for His sake forgives us all our sins.  To all who confess their sin to God and seek His forgiveness, to those in whose spirit there is no guile, who acknowledge their sin and do not hide their iniquity, God covers your sin, and does not impute your iniquity, in the name of the Father, and of the Son, and of the Holy Spirit."
1,2022-01-23,"Let everyone of us, together with the Apostle Paul, who wrote these words by the Holy Spirit, truly acknowledge this Scripture in our hearts. And so I declare by His Word, that each of you, who believes in Jesus' name, is loosed from your sins on earth and in heaven.  And for Christ's sake, I proclaim unto you the forgiveness of all your sins."
2,2022-01-30,"My brethren, you have presented yourselves before the face of the Lord as His poor servants, confessing your faults and sins.  Our God is full of goodness and grace, which is why He has revealed to us His will, He has instructed us by His  righteous law, and has granted His Spirit so that His law may be inscribed and impressed upon our hearts in such a way, that in all our life we truly serve and obey none beside Him. Through His Son, our Lord, this God is our merciful Father, not imputing to us our many transgressions of His law: but bestowing upon us manifold and abundant graces for which we must ever praise and glorify Him.  People of God, for Christ's sake, all your sins are forgiven.  Therefore"
3,2022-02-06,"Any among us who refuse to repent and continue to seek pleasure in sin and shame, against our conscience, God declares His wrath and judgment will abide upon him, his sins will be retained in heaven, and he will face eternal damnation, unless he repent. But to as many of you, Beloved brethren, who abhor your sins, and resolve daily to abstain from them and to serve the Lord in true holiness and righteousness, believing in Jesus, and seeking your pardon through Him, and I declare, according to the command of God, that you are released in heaven from all your sins, (as He has promised in His gospel), through the perfect satisfaction of the most holy passion and death of our Lord Jesus Christ. Beloved of the Lord, for Christ's sake, all your sins are forgiven  Therefore:"
4,2022-02-13,"Christian people - Your Heavenly Father has delivered You from power, from darkness, You have been transferred from one Kingdom into another the Kingdom of His Beloved Son Whose blood is your redemption! God is merciful to cleanse your HANDS, and REMOVE EVERY STAIN, SO THAT you MAY SERVE Him WITHOUT DEFILEMENT OF MIND AND BODY.  Beloved of the Lord, for Christ's sake your sins are forgiven!  Therefore "
5,2022-02-20,"Christian people - Your Heavenly Father is both just and gracious.  In His mercy, He has granted us reconciliation in the body of the flesh of His Son, Who died for us establishing our peace through the blood of His cross. So continue in the faith, grounded and steadfast, and do not be moved away from the hope of the gospel. Beloved of the Lord, for Christ's sake, all your sins are forgiven, therefore -"
6,2022-02-27,"To you Christian people who have here confessed your sin to God and seek His forgiveness, God declares that He does not deal with you according to your sin or reward you as your iniquities deserve, but has removed your transgressions as far from you as the east is from the west. Beloved of the Lord, for Christ's sake all your sins are forgiven."
7,2022-03-06,"To you who have confessed your sin to God, seeking His forgiveness, to all who cry to the Lord out of the depths, who wait for the Lord more than watchmen for the morning, God declares His steadfast love and plenteous redemption.  There is forgiveness with God, that He may be feared. People of God, for Christ's sake, Your merciful Father forgives all your sins"
8,2022-03-13,"People of God in these verses and in many others like them, the Lord teaches us that there is no sin that you have ever committed in your life, whose stain He will not remove and forgive if you confess and turn from it.  Saints of God, because of Christ, all your sins have been forgiven."
9,2022-03-20,"Israel of God, the Lord has gathered you to Himself from all nations, declared Himself to be your God, sprinkled you with the waters of baptism, cleansed you from your sins, put a new heart within you now, walk in His statutes and keep His judgments to do them! Beloved of the Lord, for Christ's sake, all your sins are forgiven."
