,Unnamed: 0,Date,adoration
0,0,2022-01-16,"Your glory, Lord, is beyond human contemplation and understanding.  You dwell in unapproachable light; Whom no mortal eye has seen or ever can see.  Yet the glory of Your light has gone out into all the world to draw the likes of us from out of our darkness into Your Life and the light of all men.  We thank You for the love that You have lavished upon us, so that even we might be called Your children.  Continue to pour out that love to us and from us.  For we praise You and ask these things in the strong name of Jesus our Lord, singing together the prayer He has given us:"
1,1,2022-01-23,"Almighty God and our Heavenly Father, fill Your Church today, to bless Your people with zeal for Your house and Your name.  Grant us lives aflame with love for You and for Your people, hearts consumed with Your glory and Your will; tongues anointed to sing Your praise and proclaim Your kingdom. For we approach Your throne through our Holy Advocate, Your Son, Jesus Christ our Lord.  Hear us now as we sing together the prayer He has given us"
2,2,2022-01-30,"Almighty and Heavenly Father, we, Your children, having received by faith the name of Your Son, are gathered together to praise You and magnify that name.  Be with us now and fill us with Your Holy Spirit; purge away our old Adam; renew us for a better life, by which Your name, holy and worthy, may be exalted and glorified everywhere and in all places, and that we with all creatures may give You true and perfect obedience, even as Your heavenly angels sincerely fulfill Your commandments. Hear us now as we sing together the prayer Your Son has given us"
3,3,2022-02-06,"Eternal and ever-blessed God, You are Lord over all things.  You made the entire universe, and it belongs to You and is under Your control.  And we are Your creatures.  We bow before You to worship and adore You.  Your Son Jesus, Whom men crucified, You have exalted as both Lord and Christ (Acts 2:36) and given Him the name which is above every name, that at the name of Jesus every knee should bow, of those in heaven, and of those on earth, and of those under the earth, and that every tongue should confess that Jesus Christ is Lord, to the glory of God the Father. So bless us this morning and hear us as we sing together the prayer He has given us"
4,4,2022-02-13,"Blessed art You, O Lord, Who beholds the depths, and sits above the Cherubim. in the firmament of the heavens, You are worthy of praise for ever. Though the stone had been sealed and the soldiers were watching over The grave, You raised Your Son from the dead on the third day and gave life to the world!  Glory to Your Kingdom; and Your Covenant with us, O merciful Lord.   We bless You, Father, and Son, our Saviour, and Holy Spirit our strength.  Now hear us as we sing the prayer our Lord has given us   ."
5,5,2022-02-20,"O Lord, open our lips, so that our mouths may proclaim your praise. Eternal, incomprehensible, and invisible God, infinite in power, wisdom and goodness,  dwelling in the light which no man can approach, where a thousand thousands minister unto you,  and ten thousand times ten thousand stand before you, yet dwelling with the humble and contrite,  and taking pleasure in your people: You have consecrated for us a new and living way, by the blood of Jesus, and have bid us seek you while you may be found:  So we come to you at your call, and worship at your footstool.   Behold us in your tender mercies. Despise us not, though we are unworthy.   Hear us now as we sing together the prayer Your Son has given us ."
6,6,2022-02-27,"We praise You, O God, our Heavenly Father, Who sits enthroned upon the Cherubim.  Before You all the earth trembles and quakes.  For Your name is great and awesome and Your holiness is beyond us our minds, our words, our hearts are only ever able to capture small glimmers of it.  The whole earth in all its vastness is low before You.  It is but Your footstool. You love justice and establish righteousness, yet You forgive those who keep Your testimonies and call upon Your name.  So hear us now as we do so, singing together the prayer our Lord, Your Son, has given us"
7,7,2022-03-06,"Every good and perfect gift is from above, O Lord, and comes down from You, the Father of lights, with whom there is no variation or shadow of change.  Of Your own will You brought us forth by the word of truth, that we might be a kind of firstfruits of Your creatures.  O Father of Lights, take away the darkness of our hearts and minds, and illumine Your word for us, that we might receive instruction from Your truth and reflect Your glory as lights in this dark world, as cities set on a hill that cannot be hidden.  For we come to You only through our Lord Jesus Christ, the Light of the World. in Jesus' name, singing together the prayer He has given us"
8,8,2022-03-13,"Bless the Lord, O my soul; And all that is within me, bless His holy name!  Bless the Lord, O my soul, And forget not all His benefits:  Who forgives all your iniquities, Who heals all your diseases,  Who redeems your life from destruction, Who crowns you with lovingkindness and tender mercies,  Who satisfies your mouth with good things, So that your youth is renewed like the eagle's.   Hear our prayers, accept our worship, forgive our sins, give us joy in Your presence for we approach Your throne in His name.  ."
9,9,2022-03-20,"Almighty Father,  You are the King of kings and the God of gods. Before You all nations will bow. All Kings and Authorities, Angels and Principalities. And we are gathered here today as a token of this - to lift our praise to you. Through the wilderness Christ faced our temptations and conquered the Devil.  So we praise Him Who is our victorious Warrior and Mighty King. So be with us now that we may radiate Your holiness in this world, and others seeing it, might glorify You, Who alone are worthy of all glory. Now hear us as we sing the prayer our Lord has given us"
